time               ,W      ,usage_c0             ,usage_c1             ,usage_c2             ,usage_c3             ,usage_c4             ,usage_c5             ,usage_c6             ,usage_c7             ,temp4 ,temp5 ,temp6 ,temp7
1676067652.0611756 , 5.302 ,0.105                ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.05                 ,0.0                  ,1.0                  , 40.0 , 41.0 , 45.0 , 48.0 ,
1676067652.261642  , 5.302 ,0.053                ,0.0                  ,0.0                  ,0.0                  ,0.105                ,0.0                  ,0.0                  ,1.0                  , 40.0 , 41.0 , 45.0 , 48.0 ,
1676067652.462097  , 5.302 ,0.14300000000000002  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.048                ,0.0                  ,1.0                  , 40.0 , 41.0 , 45.0 , 48.0 ,
1676067652.6625583 , 5.302 ,0.1                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,1.0                  , 40.0 , 41.0 , 45.0 , 48.0 ,
1676067652.863013  , 5.302 ,0.053                ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,1.0                  , 40.0 , 41.0 , 45.0 , 48.0 ,
1676067653.0634742 , 5.252 ,0.15                 ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.05                 ,1.0                  , 40.0 , 41.0 , 45.0 , 48.0 ,
1676067653.2639678 , 5.252 ,0.1                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,1.0                  , 40.0 , 41.0 , 45.0 , 48.0 ,
1676067653.4644213 , 5.252 ,0.15                 ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,1.0                  , 40.0 , 41.0 , 45.0 , 48.0 ,
1676067653.664922  , 5.252 ,0.053                ,0.0                  ,0.0                  ,0.0                  ,0.22699999999999998  ,0.0                  ,0.05                 ,1.0                  , 41.0 , 41.0 , 45.0 , 48.0 ,
1676067653.8653853 , 5.489 ,0.15                 ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.05                 ,1.0                  , 40.0 , 41.0 , 45.0 , 49.0 ,
1676067654.065849  , 5.489 ,0.055999999999999994 ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,1.0                  , 41.0 , 41.0 , 45.0 , 49.0 ,
1676067654.2662961 , 5.489 ,0.136                ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,1.0                  , 40.0 , 41.0 , 45.0 , 48.0 ,
1676067654.4667506 , 5.489 ,0.055999999999999994 ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.048                ,0.091                ,1.0                  , 40.0 , 41.0 , 45.0 , 48.0 ,
1676067654.6672153 , 5.489 ,0.053                ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,1.0                  , 40.0 , 41.0 , 45.0 , 48.0 ,
1676067654.8676693 , 5.302 ,0.19                 ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.091                ,0.0                  ,1.0                  , 40.0 , 41.0 , 45.0 , 48.0 ,
1676067655.0681286 , 5.302 ,0.105                ,0.0                  ,0.0                  ,0.0                  ,0.05                 ,0.05                 ,0.048                ,1.0                  , 40.0 , 41.0 , 45.0 , 48.0 ,
1676067655.268571  , 5.302 ,0.1                  ,0.0                  ,0.0                  ,0.05                 ,0.14300000000000002  ,0.0                  ,0.095                ,1.0                  , 41.0 , 42.0 , 45.0 , 49.0 ,
1676067655.4690983 , 5.302 ,0.1                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.05                 ,0.0                  ,1.0                  , 40.0 , 41.0 , 45.0 , 49.0 ,
